id,brand,series,year,model,price,sales_name,displacement,energy_type
57099,AITO 问界,问界M7,2022款,2022款 1.5T 后驱舒适版,28.98万,,,
55712,AITO 问界,问界M7,2022款,2022款 1.5T 四驱豪华版,30.98万,,,
58060,AITO 问界,问界M7,2022款,2022款 1.5T 四驱旗舰版,37.98万,,,
72086,AITO 问界,问界M8,2025款,2025款 增程 Max版 37kWh 6座版,36.98万,问界M8 2025款 增程 Max 37kWh 6座,1.5,增程式
72087,AITO 问界,问界M8,2025款,2025款 增程 Max+版 53.4kWh 6座版,39.98万,问界M8 2025款 增程 Max+ 53.4kWh 6座,1.5,增程式
72088,AITO 问界,问界M8,2025款,2025款 增程 Ultra版 53.4kWh 6座版,44.98万,问界M8 2025款 增程 Ultra 53.4kWh 6座,1.5,增程式
71238,AITO 问界,问界M8,2025款,2025款 增程 Max版 37kWh 5座版,35.98万,问界M8 2025款 增程 Max 37kWh 5座,1.5,增程式
71397,AITO 问界,问界M8,2025款,2025款 增程 Max+版 53.4kWh 5座版,37.98万,问界M8 2025款 增程 Max+ 53.4kWh 5座,1.5,增程式
72085,AITO 问界,问界M8,2025款,2025款 增程 Ultra版 53.4kWh 5座版,42.98万,问界M8 2025款 增程 Ultra 53.4kWh 5座,1.5,增程式
73842,AITO 问界,问界M8,2025款,2025款 纯电 Max+ 六座长续航版 ,37.98万,问界M8 2025款 纯电 Max+ 六座长续航,-,纯电动
73805,AITO 问界,问界M8,2025款,2025款 纯电 Max+ 六座四驱版 ,39.98万,问界M8 2025款 纯电 Max+ 六座四驱,-,纯电动
73981,AITO 问界,问界M8,2025款,2025款 纯电 Ultra 六座四驱版,44.98万,问界M8 2025款 纯电 Ultra 六座四驱,-,纯电动
73844,AITO 问界,问界M8,2025款,2025款 纯电 Max+ 五座长续航版 ,35.98万,问界M8 2025款 纯电 Max+ 五座长续航,-,纯电动
73845,AITO 问界,问界M8,2025款,2025款 纯电 Max+ 五座四驱版 ,37.98万,问界M8 2025款 纯电 Max+ 五座四驱,-,纯电动
73980,AITO 问界,问界M8,2025款,2025款 纯电 Ultra 五座四驱版,42.98万,问界M8 2025款 纯电 Ultra 五座四驱,-,纯电动
72092,AITO 问界,问界M9,2025款,2025款 增程 Max版 52kWh 6座版,47.98万,问界M9 2025款 增程 Max 52kWh 6座,1.5,增程式
72093,AITO 问界,问界M9,2025款,2025款 增程 Ultra版 52kWh 6座版,53.98万,问界M9 2025款 增程 Ultra 52kWh 6座,1.5,增程式
71905,AITO 问界,问界M9,2025款,2025款 纯电 Max版 100kWh 6座版,50.98万,问界M9 2025款 纯电 Max 100kWh 6座,-,纯电动
72094,AITO 问界,问界M9,2025款,2025款 纯电 Ultra版 100kWh 6座版,56.98万,问界M9 2025款 纯电 Ultra 100kWh 6座,-,纯电动
71840,AITO 问界,问界M9,2025款,2025款 增程 Max版 52kWh 5座版,46.98万,问界M9 2025款 增程 Max 52kWh 5座,1.5,增程式
72090,AITO 问界,问界M9,2025款,2025款 增程 Ultra版 52kWh 5座版,51.98万,问界M9 2025款 增程 Ultra 52kWh 5座,1.5,增程式
72091,AITO 问界,问界M9,2025款,2025款 纯电 Ultra版 100kWh 5座版,54.98万,问界M9 2025款 纯电 Ultra 100kWh 5座,-,纯电动
74949,AITO 问界,问界M9,2025款,2025款 增程 Ultra版 52kWh 4座版,55.98万,问界M9 2025款 增程 Ultra 52kWh 4座,1.5,增程式
74950,AITO 问界,问界M9,2025款,2025款 纯电 Ultra版 100kWh 4座版,58.98万,问界M9 2025款 纯电 Ultra 100kWh 4座,-,纯电动
74667,AITO 问界,问界M9,2025款,2025款  欧洲版,,,,
62434,AITO 问界,问界M9,2024款,2024款 增程 Max版 42kWh 6座版,46.98万,,,
64734,AITO 问界,问界M9,2024款,2024款 增程 Ultra版 42kWh 6座版,52.98万,,,
66280,AITO 问界,问界M9,2024款,2024款 增程 Max版 52kWh 6座版,48.98万,,,
66281,AITO 问界,问界M9,2024款,2024款 增程 Ultra版 52kWh 6座版,54.98万,,,
62607,AITO 问界,问界M9,2024款,2024款 纯电 Max版 100kWh 6座版,50.98万,,,
64733,AITO 问界,问界M9,2024款,2024款 纯电 Ultra版 100kWh 6座版,56.98万,,,
69834,AITO 问界,问界M9,2024款,2024款 增程 Max版 42kWh 5座版,46.98万,,,
69835,AITO 问界,问界M9,2024款,2024款 增程 Max版 52kWh 5座版,48.98万,,,
69765,AITO 问界,问界M9,2024款,2024款 增程 Ultra版 52kWh 5座版,52.98万,,,
69766,AITO 问界,问界M9,2024款,2024款 纯电 Ultra版 100kWh 5座版,56.98万,,,
27911,ALPINA,ALPINA B4,2016款,2016款 B4 BITURBO Coupe,109.80万,,,
76395,AUXUN傲旋,傲旋,2026款,2026款 2.0T 兰驰大白鲨Pro,69.80万,,,
74500,AUXUN傲旋,傲旋,2025款,2025款 2.0T 纵横四海50周年限量版,128.80万,傲旋 2025款 2.0T 纵横四海50周年限量,2.0,汽油+48V轻混系统
72612,AUXUN傲旋,傲旋,2025款,2025款 2.0T 大白鲨Ultra,98.80万,傲旋 2025款 2.0T 大白鲨Ultra,2.0,汽油+48V轻混系统
74730,AUXUN傲旋,傲旋,2025款,2025款 2.0T 大白鲨Max,93.80万,傲旋 2025款 2.0T 大白鲨Max,2.0,汽油+48V轻混系统
74731,AUXUN傲旋,傲旋,2025款,2025款 2.0T 大白鲨Pro,69.80万,傲旋 2025款 2.0T 大白鲨Pro,2.0,汽油+48V轻混系统
72797,AUXUN傲旋,傲旋,2025款,2025款 2.0T 开拓版,92.80万,傲旋 2025款 2.0T 开拓,2.0,汽油+48V轻混系统
67828,AUXUN傲旋,傲旋,2024款,2024款 2.0T 开拓版,98.80万,傲旋 2024款 2.0T 开拓,2.0,汽油
63044,AUXUN傲旋,傲旋,2024款,2024款 2.0T AUXUN傲旋纵横天下,108.00万,傲旋 2024款 2.0T AUXUN傲旋纵横天下,2.0,汽油
64517,AUXUN傲旋,傲旋,2024款,2024款 2.0T AUXUN傲旋纵横四海白沙珊瑚,148.00万,傲旋 2024款 2.0T AUXUN傲旋纵横四海白沙珊瑚,2.0,汽油
39707,AUXUN傲旋,傲旋,2023款,2023款 2.0T AUXUN傲旋,88.80万,傲旋 2023款 2.0T AUXUN傲旋,2.0,汽油
41646,AUXUN傲旋,傲旋,2023款,2023款 2.0T AUXUN傲旋大白鲨,93.80万,傲旋 2023款 2.0T AUXUN傲旋大白鲨,2.0,汽油
50927,AUXUN傲旋,傲旋,2023款,2023款 2.0T AUXUN傲旋纵横四海,138.00万,傲旋 2023款 2.0T AUXUN傲旋纵横四海,2.0,汽油
49162,AUXUN傲旋,傲旋,2023款,2023款 2.0T AUXUN傲旋大白鲨典藏版,158.00万,傲旋 2023款 2.0T AUXUN傲旋大白鲨典藏,2.0,汽油
75201,AUXUN傲旋,小傲旋,2025款,2025款  2.5L混动 高定版,45.88万,小傲旋 2025款  2.5L混动 高定,2.5,油电混合
